Record_number,Biome2,Ecosystem_type2,altitude,SOC_stock,Study_midyear,YearsOfData,Lat,Lon,Site,Latitude,Longitude,Site2,Study_number,Elevation,Biome,Ecosystem_state,Ecosystem_type,Leaf_habit,MAT,MAP,Meas_method,Partition_method,Stage,Rs_annual,Rh_annual,Ra_annual,Site.match,Mean.Temp.,delta.Mean.Temp.,Mean.Precip.,delta.Mean.Precip.,Latitude2,Outlier_rh,Outlier_ra
5911,Tropical,Forest,171,122,2008.5,6,-12.75,-69.25,-82,12.83028889,-69.27,-82.10028889,8699,171,Tropical,Natural,Evergreen Forest,Evergreen,26.96388889,2228.05,IRGA,Exclusion,Mature,1211,708,507,-82,26.96388889,0.544722222,185.6708333,187.47,-12.83028889,0,0
5890,Temperate,Forest,124,121,2013,1,36.75,128.25,36.75 128.25,36.85944444,128.2147222,36.85944444 128.2147222,8571,900,Temperate,Natural,Deciduous Forest,Deciduous,10.2,1387.8,IRGA,,Mature,731,358,373,36.75 128.25,10.18333333,-0.679722222,123.1333333,293.7966667,36.85944444,0,0
2260,Temperate,Forest,375,121,2000,1,36.25,137.25,36.25 137.25,36.13,137.42,36.13 137.42,4018,1420,Temperate,Natural,Deciduous Forest,Deciduous,7.3,2400,IRGA,Exclusion,Mature,821,449,371.913,36.25 137.25,10.28333333,0.0375,147.1916667,6.206666667,36.13,0,0
2262,Temperate,Forest,375,121,2002,1,36.25,137.25,36.25 137.25,36.13,137.42,36.13 137.42,4018,1420,Temperate,Natural,Deciduous Forest,Deciduous,7.3,2400,IRGA,Exclusion,Mature,817,447,370.101,36.25 137.25,10.5,0.254166667,126.4,-243.2933333,36.13,0,0
2309,Temperate,Forest,3200,121,2004.5,2,45.75,-84.75,45.75 -84.75,45.59,-84.72,45.59 -84.72,3845,3200,Temperate,Natural,Deciduous Forest,Deciduous,5.5,817,IRGA,Extraction,Mature,782,414,368,45.75 -84.75,6.0125,-0.068333333,64.87083333,36.42,45.59,0,0
4239,Temperate,Forest,398,121,2007,1.5,47.25,8.25,47.25 8.25,47.47833333,8.364388889,47.47833333 8.364388889,5317,680,Temperate,Managed,Deciduous Forest,Deciduous,8.4,930,IRGA,Exclusion,Mature,847,495,365,47.25 8.25,11.45555556,2.747777778,109.3833333,223.1233333,47.47833333,0,0
305,Temperate,Grassland,250,88,2004,1,34.75,-97.75,34.75 -97.75,34.98,-97.52,34.98 -97.52,4174,250,Temperate,Natural,Grassland,Deciduous,16.3,914,IRGA,Exclusion,Mature,805,440,365,34.75 -97.75,16.16666667,0.106388889,69.30833333,-126.4333333,34.98,0,0
2747,Temperate,Forest,1093.5,122,2003,1,52.75,-7.25,52.75 -7.25,52.95,-7.25,52.95 -7.25,3561,260,Temperate,Natural,Evergreen Forest,Evergreen,9.3,804,IRGA,Exclusion,Aggrading,686,321,365,52.75 -7.25,9.916666667,0.071666667,88.55,175.9233333,52.95,0,0
4877,Temperate,Forest,100,121,2010,1,51.25,-0.75,51.25 -0.75,51.16666667,-0.85,51.16666667 -0.85,6334,80,Temperate,Natural,Deciduous Forest,Deciduous,9.4,780,IRGA,Exclusion,Mature,713,350,364,51.25 -0.75,9.975,-0.631666667,68.9,195.4933333,51.16666667,0,0
1036,Temperate,Forest,550,121,2004.5,1,48.75,7.25,48.75 7.25,48.67,7.06,48.67 7.06,4003,305,Temperate,Natural,Deciduous Forest,Deciduous,9.7,913,IRGA,Exclusion,Mature,528,164,364,48.75 7.25,9.358333333,-0.219166667,68.075,-34.64333333,48.67,0,0
134,Temperate,Forest,680,121,2004,1,45.75,-84.75,45.75 -84.75,45.59,-84.72,45.59 -84.72,3845,680,Temperate,Natural,Deciduous Forest,Deciduous,5.5,817,IRGA,Extraction,Aggrading,782,422,360,45.75 -84.75,5.833333333,-0.2475,72.3,125.57,45.59,0,0
5283,Tropical,Forest,282.6,121,2011,1,4.75,11.75,4.75 11.75,4.566666667,11.9,4.566666667 11.9,7553,100,Tropical,Managed,Deciduous Forest,Deciduous,25,1350,IRGA,Extraction,Mature,1060,560,500,4.75 11.75,24.33333333,-0.002777778,91.00833333,-300.1033333,4.566666667,0,0
6040,Tropical,Forest,111,64,2012.5,1,32.25,118.75,32.25 118.75,32.2,118.72,32.2 118.72,10087,111,Subtropical,Natural,Mixed Forest,Mixed,15.6,1100,IRGA,Exclusion,Mature,1111.1,617.9,493.2,32.25 118.75,16,-0.162777778,73.00833333,-189.1066667,32.2,0,0
4756,Tropical,Grassland,919,88,2009.5,1.5,-4.25,11.75,-4.25 11.75,4.289166667,11.65641667,-4.289166667 11.65641667,6247,80,Tropical,Unmanaged,Grassland,Deciduous,25,1200,IRGA,Other,Mature,887,424,463,-4.25 11.75,26.70555556,0.714166667,134.6111111,352.52,-4.289166667,0,0
5912,Tropical,Forest,219,122,2008.5,6,-12.75,-69.25,-82,12.83028889,-69.27,-82.10028889,8699,219,Tropical,Natural,Evergreen Forest,Evergreen,26.96388889,2228.05,IRGA,Exclusion,Mature,1097,634,462,-82,26.96388889,0.544722222,185.6708333,187.47,-12.83028889,0,0
4318,Tropical,Forest,2180,122,2008,2,-13.25,-71.75,-85,13.19138889,-71.59,-84.78138889,5766,3030,Tropical,Natural,Evergreen Forest,Evergreen,9.1625,922.55,IRGA,Exclusion,Mature,1064,609,455,-85,9.1625,-0.264166667,76.87916667,-90.93333333,-13.19138889,0,0
5993,Temperate,Forest,4635,122,2008,1,31.75,102.75,31.75 102.75,31.78,102.7,31.78 102.7,9674,3378,Temperate,Natural,Evergreen Forest,Evergreen,7.27,687.3,IRGA,Exclusion,Mature,1070,712,358,31.75 102.75,3.508333333,0.1625,57.125,-87.1,31.78,0,0
150,Temperate,Forest,342.5,122,1997,2,32.75,130.75,32.75 130.75,32.82,130.73,32.82 130.73,1665,342.5,Temperate,Managed,Evergreen Forest,Evergreen,16.2,1970,IRGA,Comparison,Mature,618,266,352,32.75 130.75,16.69166667,-0.4325,153.1791667,-127.42,32.82,0,0
