Record_number,Biome2,altitude,SOC_content,Outlier,SOC_stock,Ecosystem_type2,Study_midyear,YearsOfData,Lat,Lon,Site,Latitude,Longitude,Site2,Study_number,Elevation,Biome,Ecosystem_state,Ecosystem_type,Leaf_habit,MAT,MAP,Meas_method,Partition_method,Stage,Rs_annual,Site.match,Mean.Temp.,delta.Mean.Temp.,Mean.Precip.,delta.Mean.Precip.,Latitude2
6783,Tropical,1380.4,12,0,83,Forest,2013.5,4,36.25,109.75,36.25 109.75,36.39,109.5255,36.39 109.5255,10464,1320,Subtropical,Unmanaged,Deciduous Forest,Deciduous,10.1,504.7,IRGA,,Mature,956,36.25 109.75,9.539583333,-0.337361111,620.725,86.465,36.39
6784,Tropical,1380.4,12,0,83,Forest,2013.5,4,36.25,109.75,36.25 109.75,36.39,109.5255,36.39 109.5255,10464,1245,Subtropical,Unmanaged,Deciduous Forest,Deciduous,10.1,504.7,IRGA,,Mature,1027,36.25 109.75,9.539583333,-0.337361111,620.725,86.465,36.39
6785,Temperate,128.4,12,0,62,Grassland,2012,2,45.75,123.75,45.75 123.75,45.604,123.85,45.604 123.85,10031,140,Temperate,Natural,Grassland,Deciduous,4,413.7,IRGA,,Mature,151,45.75 123.75,4.454166667,-0.752777778,495.9,71.01333334,45.604
6786,Temperate,128.4,12,0,62,Grassland,2012,2,45.75,123.75,45.75 123.75,45.604,123.85,45.604 123.85,10031,140,Temperate,Natural,Grassland,Deciduous,4,413.7,IRGA,,Mature,556,45.75 123.75,4.454166667,-0.752777778,495.9,71.01333334,45.604
6787,Temperate,128.4,12,0,62,Grassland,2012,2,45.75,123.75,45.75 123.75,45.604,123.85,45.604 123.85,10031,140,Temperate,Natural,Grassland,Deciduous,4,413.7,IRGA,,Mature,560,45.75 123.75,4.454166667,-0.752777778,495.9,71.01333334,45.604
6788,Temperate,128.4,28,0,62,Grassland,2012,2,45.75,123.75,45.75 123.75,45.604,123.85,45.604 123.85,10031,140,Temperate,Natural,Grassland,Deciduous,4,413.7,IRGA,,Mature,901,45.75 123.75,4.454166667,-0.752777778,495.9,71.01333334,45.604
6789,Temperate,128.4,28,0,62,Grassland,2012,2,45.75,123.75,45.75 123.75,45.604,123.85,45.604 123.85,10031,140,Temperate,Natural,Grassland,Deciduous,4,413.7,IRGA,,Mature,1044,45.75 123.75,4.454166667,-0.752777778,495.9,71.01333334,45.604
6803,Temperate,1096.2,7,0,200,Forest,2006.5,1,35.25,138.75,35.25 138.75,35.444,138.765,35.444 138.765,10466,1100,Temperate,Managed,Deciduous Forest,Deciduous,8.6,1848,IRGA,,Mature,770,35.25 138.75,11.25833333,0.256944444,2060.4,-36.36666667,35.444
6804,Temperate,1096.2,26,0,200,Forest,2007.5,1,35.25,138.75,35.25 138.75,35.444,138.765,35.444 138.765,10466,1100,Temperate,Managed,Deciduous Forest,Deciduous,8.6,1848,IRGA,,Mature,839,35.25 138.75,11.10833333,0.106944444,2048.5,-48.26666666,35.444
6805,Temperate,1096.2,11,0,200,Forest,2008.5,1,35.25,138.75,35.25 138.75,35.444,138.765,35.444 138.765,10466,1100,Temperate,Managed,Deciduous Forest,Deciduous,8.6,1848,IRGA,,Mature,744,35.25 138.75,11.125,0.123611111,2054.4,-42.36666667,35.444
6806,Temperate,1096.2,11,0,200,Forest,2009.5,1,35.25,138.75,35.25 138.75,35.444,138.765,35.444 138.765,10466,1100,Temperate,Managed,Deciduous Forest,Deciduous,8.6,1848,IRGA,,Mature,760,35.25 138.75,11.3,0.298611111,2031.9,-64.86666667,35.444
6807,Temperate,1096.2,11,0,200,Forest,2010.5,1,35.25,138.75,35.25 138.75,35.444,138.765,35.444 138.765,10466,1100,Temperate,Managed,Deciduous Forest,Deciduous,8.6,1848,IRGA,,Mature,736,35.25 138.75,11.76666667,0.765277778,2413.2,316.4333333,35.444
6808,Temperate,1096.2,15,0,200,Forest,2011.5,1,35.25,138.75,35.25 138.75,35.444,138.765,35.444 138.765,10466,1100,Temperate,Managed,Deciduous Forest,Deciduous,8.6,1848,IRGA,,Mature,705,35.25 138.75,11,-0.001388889,2243.7,146.9333333,35.444
6809,Temperate,1096.2,28,0,200,Forest,2012.5,1,35.25,138.75,35.25 138.75,35.444,138.765,35.444 138.765,10466,1100,Temperate,Managed,Deciduous Forest,Deciduous,8.6,1848,IRGA,,Mature,704,35.25 138.75,10.75,-0.251388889,2088.8,-7.966666668,35.444
